id,name,shape,fill,refs
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
特殊头像,特殊头像,ellipse,#b85450,
神器碎片,神器碎片,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,
竞技场,竞技场,rectangle,#82b366,"神圣纹章(辉煌商店货币),随机英雄碎片,竞技场门票,卡牌升级石头,许愿币,装备,钻石,时光之沙,特殊头像,神器碎片,先知宝珠，先知门,抽卡卷轴,高级许愿币,卡牌进阶石头,金币,竞技场商场幸运币,恶魔之魂， 升级符文用,先知祝福，英雄置换"
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
金币,金币,ellipse,#b85450,
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,
竞技场门票,竞技场门票,ellipse,#b85450,竞技场
装备,装备,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,竞技场
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
竞技场商场幸运币,竞技场商场幸运币,ellipse,#b85450,竞技场
